,TranscriptID,ErrorFraction
0,ENST00000608495,1.0
1,ENST00000382352,0.23407463249151902
2,ENST00000342665,0.28744650499286734
3,ENST00000609179,0.2950191570881226
4,ENST00000217233,0.29926334554973827
5,ENST00000449710,0.3341295771428572
6,ENST00000422053,0.222919111969112
7,ENST00000411647,0.23656401569506721
8,ENST00000354200,0.2105820105820106
9,ENST00000217244,0.07584126186155038
10,ENST00000381962,0.1821917808219178
11,ENST00000381899,0.23807901543209883
12,ENST00000435720,0.3249991071428572
13,ENST00000381898,0.22819276392251814
14,ENST00000381808,0.29545454545454547
15,ENST00000537552,1.0
16,ENST00000381715,0.16216442974527526
17,ENST00000400137,0.14007423628147192
18,ENST00000381719,0.13526582385908734
19,ENST00000476071,0.12637208093427482
20,ENST00000216879,0.25861748765957443
21,ENST00000381658,0.20926861536485095
22,ENST00000569387,0.1396714149709303
23,ENST00000344103,0.19812068924889545
24,ENST00000216927,0.2626111541916168
25,ENST00000356025,-3.284825229508197
26,ENST00000358771,0.7531734570230608
27,ENST00000400064,0.2360248447204969
28,ENST00000381458,0.625
29,ENST00000381342,0.23438650708158792
30,ENST00000438552,0.2687777641250686
31,ENST00000339610,0.13746642420937835
32,ENST00000445139,0.19478587267759565
33,ENST00000415272,0.19910602076124567
34,ENST00000329276,0.23204963002944062
35,ENST00000380851,0.25927719224683543
36,ENST00000380843,0.17532254998099575
37,ENST00000380605,0.2363356428021555
38,ENST00000474714,0.27102803738317754
39,ENST00000448755,0.3195709819494585
40,ENST00000439542,0.6957676
41,ENST00000380445,0.2567685817191283
42,ENST00000380443,0.20519641639344258
43,ENST00000431048,0.1699053966789668
44,ENST00000380325,0.30670926517571884
45,ENST00000348031,0.19672131147540983
46,ENST00000380266,0.10185873605947955
47,ENST00000329152,0.564691551724138
48,ENST00000380201,0.24539094227353464
49,ENST00000399838,0.22607346094154165
50,ENST00000453730,0.17601830821917808
51,ENST00000446916,0.17106812258064513
52,ENST00000399701,1.0
53,ENST00000399683,0.2627599243856333
54,ENST00000379751,0.305
55,ENST00000340833,0.2628048780487805
56,ENST00000379567,0.271298293150685
57,ENST00000416600,0.2523809523809524
58,ENST00000497424,0.20358591767288692
59,ENST00000316562,0.24392806140350873
60,ENST00000610179,-0.49303147035573125
61,ENST00000336095,0.1887924557885141
62,ENST00000457205,0.3584905660377358
63,ENST00000430350,0.1995397586206897
64,ENST00000457586,0.45080835714285716
65,ENST00000305817,1.0
66,ENST00000379376,0.09041489854771781
67,ENST00000379400,0.26727952757352935
68,ENST00000338244,0.160026564944134
69,ENST00000379299,0.14744432638331995
70,ENST00000379143,0.12266127284548146
71,ENST00000460006,0.13892508050402516
72,ENST00000418646,0.12558945183608308
73,ENST00000442185,0.1540598771428571
74,ENST00000378961,1.0
75,ENST00000453074,0.10251363147410356
76,ENST00000378886,0.09504662368972748
77,ENST00000452938,0.20178552903225808
78,ENST00000378827,0.2711864406779661
79,ENST00000246024,0.1293451899757478
80,ENST00000378641,1.0
81,ENST00000378380,1.0
82,ENST00000254976,0.866198
83,ENST00000347364,0.1142076587431694
84,ENST00000423891,0.21399900286532952
85,ENST00000254977,0.5059171366906474
86,ENST00000202816,0.10658682634730539
87,ENST00000377943,0.06419294990723562
88,ENST00000474024,0.09167132476243711
89,ENST00000398782,0.20756197289586306
90,ENST00000481323,0.2936064556176288
91,ENST00000377704,0.07469190200000003
92,ENST00000377681,0.13465117655172418
93,ENST00000316358,0.2333931777378815
94,ENST00000329494,0.20330435106382974
95,ENST00000377603,0.11007025761124122
96,ENST00000337227,0.10336134453781512
97,ENST00000262544,0.1603502944285067
98,ENST00000608034,0.3262516541666667
99,ENST00000411646,0.14697073214285714
100,ENST00000377452,0.18648310387984982
101,ENST00000255006,0.18802966101694915
102,ENST00000334982,0.1974633772835584
